index,level,lession,kanji,vi_1,vi_2,giai_thich,image_1,image_2
1,5,1,ー,Nhất,số 1,Chữ này nhìn giống 1 que diêm,1_image_1.png,1_image_2.png
2,5,1,音,Âm,âm thanh,Giống hình chiếc loa phát âm thanh,2_image_1.png,2_image_2.png
3,5,1,雨,Vũ,mưa,"Các bạn tách chữ 雨 sẽ được các chữ cái T,M : Trời Mưa",3_image_1.png,3_image_2.png
4,5,1,羽,Vũ,lông chim,Chữ này giống hình cánh của con chim,4_image_1.png,4_image_2.png
5,5,1,雲,Vân,mây,"Mây là hiện tượng nước ngưng tụ thành. 雲: vũ , 会: hội",5_image_1.png,5_image_2.png
6,5,1,引,Dẫn,kéo,Cây cung và mũi tên được dương lên để bắn,6_image_1.png,6_image_2.png
7,5,1,王,Vương,vua,Giống chiếc vương miệng của nhà Vua ngày xưa,7_image_1.png,7_image_2.png
8,5,1,円,Viên,"tròn, tiền yên","Đồng tiền xu. Các bạn nhớ nhé, trong hán tự không có hình tròn",8_image_1.png,8_image_2.png
9,5,1,遠,Viễn,xa,Cậu bé cầm cây kem đi trên con đường dài xa xăm,9_image_1.png,9_image_2.png
10,5,1,園,Viên,công viên,Cậu bé cầm que kem chơi trong công viên,10_image_1.png,10_image_2.png
11,5,2,火,Hoả,lửa,Ngọn lửa đang cháy,11_image_1.png,11_image_2.png
12,5,2,花,Hoa,bông hoa,Đôi trai gái đang ngắm hoa,12_image_1.png,12_image_2.png
13,5,2,下,Hạ,bên dưới,Rễ cây dưới đất,13_image_1.png,13_image_2.png
14,5,2,家,Gia,"gia đình, nhà",2 con heo đang ăn dưới mái nhà,14_image_1.png,14_image_2.png
15,5,2,何,Hà,cái gì,Ngày xưa mỗi khi có việc gì đó thì người ta sẽ ra đánh kẻng,15_image_1.png,15_image_2.png
16,5,2,夏,Hạ,mùa hè,Một mình đi lại giữa trời mùa hè,16_image_1.png,16_image_2.png
17,5,2,科,Khoa,khoa học,Nhờ khoa học con người thu hoạch lúa gấp 2 lần,17_image_1.png,17_image_2.png
18,5,2,歌,Ca,hát,Cậu bé hát cho khán giả nghe,18_image_1.png,18_image_2.png
19,5,2,学,Học,học sinh,Học sinh đến ngôi trường vui vẻ,19_image_1.png,19_image_2.png
20,5,2,画,"Hoạ, hoạch","hoạ sĩ, kế hoạch",Hoạ sĩ vẽ bức tranh cánh đồng,20_image_1.png,20_image_2.png
21,5,3,休,Hưu,nghỉ hưu,Người đã nghỉ hưu đứng dưới gốc cây,21_image_1.png,21_image_2.png
22,5,3,九,Cửu,số 9,Dập đầu 9 lần,22_image_1.png,22_image_2.png
23,5,3,弓,Cung,cây cung,Cây cung,23_image_1.png,23_image_2.png
24,5,3,牛,Ngưu,con bò,Đầu con bò,24_image_1.png,24_image_2.png
25,5,3,玉,Ngọc,bảo ngọc,Bảo ngọc là biểu tượng sự quyền lực của nhà Vua,25_image_1.png,25_image_2.png
26,5,3,空,Không,không gian,"Xoay chữ 空 90 độ nhé các bạn. Chữ 空 được tách ra thành chữ K, H : Không",26_image_1.png,26_image_2.png
27,5,3,具,Cụ,công cụ,Hộp công cụ để trên bàn,27_image_1.png,27_image_2.png
28,5,3,魚,Ngư,cá,Cá ngoi lên mặt nước,28_image_1.png,28_image_2.png
29,5,3,五,Ngũ,Số 5,5 que diêm xếp lại với nhau,29_image_1.png,29_image_2.png
30,5,3,語,Ngữ,ngôn ngữ,Người nói được 5 thứ ngôn ngữ,30_image_1.png,30_image_2.png
31,5,4,午,Ngọ,giữa trưa,"Tách chữ Ngọ ra thành số 1, 1, 10: 1+1+10= 12 ( 12 giờ trưa )",31_image_1.png,31_image_2.png
32,5,4,後,Hậu,phía sau,Đứa con luôn đi sau bó mình,32_image_1.png,32_image_2.png
33,5,4,六,Lục,sô 6,Khẩu súng bắn 6 viên đạn,33_image_1.png,33_image_2.png
34,5,4,犬,Khuyển,con chó,Đầu con chó,34_image_1.png,34_image_2.png
35,5,4,月,Nguyệt,trăng,Trăng khuyết,35_image_1.png,35_image_2.png
36,5,4,楽,Lạc/nhạc,"âm nhạc, vui vẻ",Tổ chim non trên cành cây hót líu lo nghe rất vui tai,36_image_1.png,36_image_2.png
37,5,4,気,Khí,sát khí,Chữ X là biểu tượng của sát khí,37_image_1.png,37_image_2.png
